,review,score,source,cleaned_review,cleaned_reduced_review,cleaned_review_length
240,Big Disappointment with calendar sync.,0,amz,Big Disappointment with calendar sync,big disappointment calendar sync,5
241,the phone was unusable and was not new.,0,amz,the phone was unusable and was not new,phone unusable new,8
242,Worst Customer Service Ever.,0,amz,Worst Customer Service Ever,worst customer service ever,4
243,"No additional ear gels provided, and no instructions whatsoever.",0,amz,No additional ear gels provided and no instructions whatsoever,additional ear gels provided instructions whatsoever,9
244,It defeats the purpose of a bluetooth headset.,0,amz,It defeats the purpose of a bluetooth headset,defeats purpose bluetooth headset,8
245,Worth every penny.,1,amz,Worth every penny,worth every penny,3
246,Excellent wallet type phone case.,1,amz,Excellent wallet type phone case,excellent wallet type phone case,5
247,Nice headphones for the price and they work great!,1,amz,Nice headphones for the price and they work great,nice headphones price work great,9
248,Internet is excrutiatingly slow.,0,amz,Internet is excrutiatingly slow,internet excrutiatingly slow,4
249,"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,amz,It is very comfortable to wear as well which is probably the most important aspect about using a case,comfortable wear well probably important aspect using case,19
250,"It's fits like a glove and is strong, secure, and durable.",1,amz,Its fits like a glove and is strong secure and durable,fits like glove strong secure durable,11
251,O my gosh the best phone I have ever had.,1,amz,O my gosh the best phone I have ever had,gosh best phone ever,10
252,It's very attractive and appears to be of good quality.,1,amz,Its very attractive and appears to be of good quality,attractive appears good quality,10
253,I love all the features and form factor.,1,amz,I love all the features and form factor,love features form factor,8
254,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,amz,This product had a strong rubberpetroleum smell that was unbearable after a while and caused me to return it,product strong rubberpetroleum smell unbearable caused return,19
255,poor quality and service.,0,amz,poor quality and service,poor quality service,4
256,"The cable looks so thin and flimsy, it is scary.",0,amz,The cable looks so thin and flimsy it is scary,cable looks thin flimsy scary,10
257,Great Earpiece.,1,amz,Great Earpiece,great earpiece,2
258,Excellent hands free tool.,1,amz,Excellent hands free tool,excellent hands free tool,4
259,Great for using with your home stereo.,1,amz,Great for using with your home stereo,great using home stereo,7
260,Good product - incredible value.,1,amz,Good product  incredible value,good product incredible value,4
261,Only had this a month but it's worked flawlessly so far.,1,amz,Only had this a month but its worked flawlessly so far,month worked flawlessly far,11
262,Works great.,1,amz,Works great,works great,2
263,Absolutel junk.,0,amz,Absolutel junk,absolutel junk,2
264,THAT one didn't work either.,0,amz,THAT one didnt work either,one didnt work either,5
265,Battery life is real good.,1,amz,Battery life is real good,battery life real good,5
266,Returned 8 hours later.,0,amz,Returned 8 hours later,returned 8 hours later,4
267,It's a great item.,1,amz,Its a great item,great item,4
268,Don't waste your money!.,0,amz,Dont waste your money,dont waste money,4
269,Love this headset!,1,amz,Love this headset,love headset,3
270,"Not only will it drain your player, but may also potentially fry it.",0,amz,Not only will it drain your player but may also potentially fry it,drain player may also potentially fry,13
271,Worked perfectly!,1,amz,Worked perfectly,worked perfectly,2
272,Unreliable - I'm giving up.,0,amz,Unreliable  Im giving up,unreliable im giving,4
273,I gave it 5 stars because of the sound quality.,1,amz,I gave it 5 stars because of the sound quality,gave 5 stars sound quality,10
274,Avoid this one if you can.,0,amz,Avoid this one if you can,avoid one,6
275,Reversible plug works great.,1,amz,Reversible plug works great,reversible plug works great,4
276,I wasted my little money with this earpiece.,0,amz,I wasted my little money with this earpiece,wasted little money earpiece,8
277,Very good phone.,1,amz,Very good phone,good phone,3
278,"Best of all is the rotating feature, very helpful.",1,amz,Best of all is the rotating feature very helpful,best rotating feature helpful,9
279,Comfort for our whole family.,1,amz,Comfort for our whole family,comfort whole family,5
280,"Good product, good seller.",1,amz,Good product good seller,good product good seller,4
281,I love this bluetooth!,1,amz,I love this bluetooth,love bluetooth,4
282,"First of all, it doesn't wear well.",0,amz,First of all it doesnt wear well,first doesnt wear well,7
283,I am very impressed with this headset from Plantronics.,1,amz,I am very impressed with this headset from Plantronics,impressed headset plantronics,9
284,I got it because it was so small and adorable.,1,amz,I got it because it was so small and adorable,got small adorable,10
285,Great phone!.,1,amz,Great phone,great phone,2
286,I wouldn't recommend buying this product.,0,amz,I wouldnt recommend buying this product,wouldnt recommend buying product,6
287,Piece of Junk.,0,amz,Piece of Junk,piece junk,3
288,Poorly contstruct hinge.,0,amz,Poorly contstruct hinge,poorly contstruct hinge,3
289,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,amz,This item is great installed it let it charged up overnite and it has been working good every since with no problems,item great installed let charged overnite working good every since problems,22
290,Great Phone.,1,amz,Great Phone,great phone,2
291,Don't buy it.,0,amz,Dont buy it,dont buy,3
292,Excellent Phone.,1,amz,Excellent Phone,excellent phone,2
293,DO NOT PURCHASE THIS PHONE.,0,amz,DO NOT PURCHASE THIS PHONE,purchase phone,5
294,The voice recognition thru the handset is excellent.,1,amz,The voice recognition thru the handset is excellent,voice recognition thru handset excellent,8
295,This is hands down the best phone I've ever had.,1,amz,This is hands down the best phone Ive ever had,hands best phone ive ever,10
296,"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,amz,Works great when my cat attacked the phone he scratched the protective strip instead of destroying the screen,works great cat attacked phone scratched protective strip instead destroying screen,18
297,This one works and was priced right.,1,amz,This one works and was priced right,one works priced right,7
298,Customer service was terrible.,0,amz,Customer service was terrible,customer service terrible,4
299,Battery life still not long enough in Motorola Razor V3i.,0,amz,Battery life still not long enough in Motorola Razor V3i,battery life still long enough motorola razor v3i,10
